DateTime,Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,FlightNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2004-9-19-34,2004,9,19,7,34.0,30,530.0,537,700,176.0,187,164.0,-7.0,4.0,1431,3,9,0,0,0,0,0,0,0
2004-9-19-35,2004,9,19,7,35.0,2356,148.0,112,521,73.0,76,56.0,36.0,39.0,345,4,13,0,0,12,0,0,0,24
2004-9-19-36,2004,9,19,7,36.0,40,518.0,526,1444,162.0,166,140.0,-8.0,-4.0,1199,8,14,0,0,0,0,0,0,0
2004-9-19-39,2004,9,19,7,39.0,45,417.0,430,427,218.0,225,193.0,-13.0,-6.0,1576,4,21,0,0,0,0,0,0,0
2004-9-19-4,10020,45,95,35,1815.0,4361,3172.0,3293,14718,557.0,572,457.0,-41.0,-26.0,3490,54,46,0,0,0,0,16,0,0
2004-9-19-42,4008,18,38,14,84.0,90,1103.0,1209,2106,379.0,399,333.0,-26.0,-6.0,3051,10,36,0,0,0,0,0,0,0
2004-9-19-43,2004,9,19,7,43.0,40,550.0,605,362,187.0,205,170.0,-15.0,3.0,1589,5,12,0,0,0,0,0,0,0
2004-9-19-45,2004,9,19,7,45.0,45,448.0,457,1197,183.0,192,161.0,-9.0,0.0,1449,8,14,0,0,0,0,0,0,0
2004-9-19-48,2004,9,19,7,48.0,50,522.0,540,2074,154.0,170,139.0,-18.0,-2.0,1189,4,11,0,0,0,0,0,0,0
2004-9-19-5,484968,2178,4598,1694,131562.0,139803,178532.0,184747,637837,24670.0,25844,20102.0,-2015.0,-841.0,136395,1708,2854,0,0,59,0,170,0,144
2004-9-19-50,2004,9,19,7,50.0,2145,126.0,2238,398,156.0,173,142.0,168.0,185.0,1055,5,9,0,0,168,0,0,0,0
2004-9-19-51,2004,9,19,7,51.0,1805,220.0,1954,210,89.0,109,80.0,386.0,406.0,647,2,7,0,0,386,0,0,0,0
2004-9-19-52,4008,18,38,14,104.0,155,1002.0,1112,1702,358.0,377,319.0,-30.0,-11.0,2848,11,28,0,0,0,0,0,0,0
2004-9-19-54,2004,9,19,7,54.0,55,501.0,517,198,187.0,202,165.0,-16.0,-1.0,1449,6,16,0,0,0,0,0,0,0
